"energy","zcr","peak","dominant_frequency","label"
14049394,0.459717,690,156,"door"
11885606,0.435791,456,61,"door"
15343538,0.369141,449,106,"door"
11438630,0.437988,454,83,"door"
10478092,0.442871,366,53,"door"
11715968,0.432617,343,84,"door"
29686802,0.449951,563,105,"door"
31714887,0.433105,1070,50,"door"
32926551,0.438477,626,83,"door"
39537445,0.412109,824,109,"door"
43655664,0.425293,778,108,"door"
43445270,0.39917,923,110,"door"
23224374,0.469482,589,110,"door"
24834353,0.453857,790,110,"door"
33041932,0.431152,638,239,"door"
21912032,0.419922,683,51,"door"
72145424,0.440674,1009,153,"door"
90211774,0.517822,947,831,"door"
57780101,0.403809,1055,120,"door"
59722260,0.435791,981,206,"door"
64829648,0.463867,1177,110,"door"
42555819,0.446533,1001,851,"door"
35160477,0.464111,820,261,"door"
14851507,0.467529,543,118,"door"
26372151,0.470459,918,144,"door"
19526187,0.465332,483,124,"door"
65523759,0.486572,977,878,"door"
70414146,0.460938,926,386,"door"
78119420,0.430908,953,252,"door"
67755523,0.477051,950,509,"door"
80578551,0.45459,1034,22,"door"
28331686,0.317383,1103,16,"door"
15973835,0.413818,1258,110,"door"
16126414,0.379883,1109,110,"door"
21556129,0.453125,974,110,"door"
23111017,0.459961,1181,110,"door"
61851330,0.454834,1091,545,"door"
47580636,0.428711,1015,75,"door"
29164749,0.401123,1016,26,"door"
68533103,0.412109,1335,152,"door"
51531411,0.442871,991,110,"door"
97492473,0.4646,918,85,"sink"
17996669,0.441895,970,32,"sink"
42259510,0.437744,836,26,"sink"
17916563,0.443604,956,66,"sink"
15587883,0.453125,851,68,"sink"
19251143,0.456543,976,181,"sink"
61520419,0.456055,938,52,"sink"
19501202,0.458252,1009,98,"sink"
25239033,0.447266,912,169,"sink"
26082782,0.452148,936,102,"sink"
122350639,0.461914,1157,179,"sink"
26111117,0.455322,1035,34,"sink"
15395357,0.467773,957,70,"sink"
220059051,0.474854,1018,820,"sink"
20277043,0.440186,911,88,"sink"
46809599,0.427246,1078,103,"sink"
27775135,0.442871,1397,515,"sink"
16784624,0.435303,958,82,"sink"
69525996,0.473877,676,50,"sink"
13497609,0.456787,776,63,"sink"
32944377,0.46582,589,617,"sink"
145155127,0.496582,975,968,"sink"
21496304,0.482422,783,142,"sink"
8372139,0.467285,328,156,"sink"
12204903,0.462891,522,160,"sink"
23676566,0.453369,427,45,"sink"
13608444,0.458252,598,172,"sink"
26053272,0.431885,974,32,"sink"
15586733,0.466553,823,68,"sink"
14556617,0.488037,536,226,"sink"
126575445,0.448975,927,596,"sink"
14836659,0.455811,468,110,"sink"
11709908,0.453369,407,110,"sink"
30627752,0.47168,720,962,"sink"
24012621,0.444824,641,52,"sink"
10816066,0.448975,620,110,"sink"
44147833,0.463379,832,110,"sink"
12003204,0.421143,462,31,"sink"
19298031,0.382812,566,94,"sink"
53713160,0.47583,476,992,"sink"
201968802,0.493408,1218,931,"sink"
116802538,0.503906,1144,113,"sink"
23508363,0.444092,613,109,"sink"
204578104,0.506348,927,73,"sink"
85112361,0.487305,935,500,"sink"
20575284,0.43457,1518,597,"sink"
25794140,0.459961,665,109,"sink"
100823766,0.469727,1011,712,"sink"
136360260,0.448975,931,947,"sink"
19443882,0.431396,1514,109,"sink"
47392930,0.488281,871,948,"sink"
218109355,0.516602,1065,971,"sink"
15907022,0.439209,713,82,"sink"
127840045,0.470459,879,61,"sink"
73401689,0.490234,697,946,"sink"
11251009,0.449219,948,236,"sink"
11216699,0.460938,786,57,"sink"
76994783,0.496094,920,485,"sink"
121772346,0.498535,1158,866,"sink"
13221414,0.440186,771,35,"sink"
12683912,0.438965,407,84,"sink"
18079923,0.381836,455,108,"sink"
23567537,0.401855,949,144,"sink"
12864215,0.445801,279,48,"sink"
14826570,0.415283,387,83,"sink"
35344924,0.41748,548,108,"sink"
42766553,0.439697,640,148,"sink"
55238107,0.472168,585,841,"sink"
50886921,0.445312,599,106,"sink"
55629707,0.468018,714,656,"sink"
246625768,0.467285,972,247,"sink"
173233154,0.496582,877,830,"sink"
184090087,0.492188,922,626,"sink"
166690983,0.48999,983,195,"sink"
133399746,0.498779,1043,44,"sink"
93842725,0.494629,965,554,"sink"
25085470,0.479492,1213,109,"sink"
46737891,0.478271,553,83,"sink"
24925974,0.443115,862,592,"sink"
18613132,0.477295,739,109,"sink"
180772838,0.490967,1016,902,"sink"
237346281,0.492432,1096,544,"sink"
160575524,0.474121,1515,483,"sink"
180166063,0.480225,923,554,"sink"
166700777,0.489014,985,299,"sink"
140374690,0.534912,1052,655,"sink"
58841713,0.461182,1051,109,"sink"
35382909,0.480713,637,109,"sink"
59938044,0.488037,905,557,"sink"
41527504,0.473389,674,625,"sink"
155699485,0.46167,979,972,"sink"
159458388,0.471191,985,461,"sink"
109378119,0.413818,1437,187,"sink"
111914153,0.453857,1022,489,"sink"
172405492,0.472656,897,99,"sink"
56378934,0.411377,977,463,"sink"
49976427,0.474609,1026,518,"sink"
50436912,0.447266,1027,110,"sink"
69728681,0.46875,1043,598,"sink"
54882533,0.457275,970,110,"sink"
